Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,lat,lon
Caban,YES,michael.singh@ccbq.org,FY24 SC 247,CCNS DellaMonica- Steinway OAC,23-11 31st Road,Queens,11106,22,22,Queens CD1,Michael Singh,718-626-1500,Michael.singh@ccbq.org,C1702,Main Site,OAC,michael.singh@ccbq.org,Michael Singh,,22,Caban,40.76580726,-73.92881771
Caban,YES,Spajaj@hanac.org,FY24 SC 166,HANAC Harmony JVL Innovative Older Adult Center,27-40 Hoyt Avenue South,Queens,11102,22,22,Queens CD1,Sofia Suada Pajaj,718-396-5002,spajaj@hanac.org,C3902,Main Site,OAC,Spajaj@hanac.org,Sofia Pajaj,,22,Caban,40.77185624,-73.91979982
Caban,YES,azorlakki@hanac.org,FY24 SC 185,HANAC QUEENSVIEW NORC,33-34 CRESCENT STREET,Queens ,11106,22,22,401,Anastasia Zorlakki <AZorlakki@hanac.org>,718-433-9045 ext 302,AZorlakki@hanac.org,N54,DFTA-Funded,NORC,azorlakki@hanac.org,Anastasia Zorlakki,,22,Caban,40.76210516,-73.9297169
Caban,YES,Sblanco@raices.us,FY24 SC 187,RAICES Astoria Social Club,4-05 Astoria Boulevard,Queens,11102,22,22,Queens CD1,Suyapa Blanco Temp. Acting Director,718-762-9642,sblanco@raices.us,C7210,Affiliated,OAC,Sblanco@raices.us,"Suyapa Blanco-Hernandez, Deputy Director",,22,Caban,40.77294637,-73.9334675
Caban,YES,pmilteer@selfhelp.net,FY24 SC 188,SELFHELP BOULEVARD GARDENS NORC,51-42 30th Avenue ,Queens ,11377,22,22,401,"Petra Milteer, ",646-648-3202,pmilteer@selfhelp.net ,N62-01,DFTA-Funded,NORC,pmilteer@selfhelp.net,Petra Milteer ,FY24 SC 188,22,Caban,40.75951284,-73.90498252
Carr,YES,Arrocharfriendship@si.rr.com,FY24 SC 370,Arrochar OAC,44 Bionia Avenue,Staten Island,10305,50,50,Staten Island CD2,Maria Anselmo,718-698-7979,arrocharfriendship@si.rr.com,C7702,Main Site,OAC,Arrocharfriendship@si.rr.com,Maria Anselmo,,50,Carr,40.59671287,-74.07537709
Carr,YES,khagen@sijcc.com,FY24 SC 372,JCCSI Center for Lifelong Development (Bernikow OAC),1466 Manor Road,Staten Island,10314,50,50,Staten Island CD2,Amelia Winter,718-475-5284,awinter@sijcc.com,W1701,Main Site,OAC,khagen@sijcc.com,Kristine Hagen,,50,Carr,40.59491525,-74.12539348
Carr,YES,newdorpsc@aol.com,FY24 SC 374,New Dorp Beach OAC,128 Cedar Grove Avenue,Staten Island,10306,50,50,Staten Island CD2,"Joan Bradshaw (Cookie), Director ",718-814-3457 ,NewDorpSC@aol.com,C7704,Main Site,OAC,newdorpsc@aol.com,Joan Bradshaw,,50,Carr,40.56146697,-74.10032861
De La Rosa,NO,,FY24 SC 322,Agudath Israel Moriah Older Adult Luncheon Club,90 Bennett Avenue,Manhattan,10033,10,10,Manhattan CD12,Shuli Gutmann,212-923-5715,moriahcenter@gmail.com,C0102,Main Site,OAC,,,,10,De La Rosa,40.85301648,-73.93537913
De La Rosa,YES,Robinson@arcseniors.org,FY24 SC 095,ARC XVI Ft Washington Center,516-520 W 181th Street,Manhattan,10033,10,10,Manhattan CD12,Robinson Hernandez,212-781-5700,robinson@arcseniors.org,C0503,Main Site,OAC,Robinson@arcseniors.org,Robinson Hernandez,,10,De La Rosa,40.84843616,-73.9316498
De La Rosa,NO,,FY24 SC 096,Center for Adults Living Well @ the Y (OAC),54 Nagle Avenue,Manhattan,10040,10,10,Manhattan CD12,Diandria Hernandez,646-738-6084,dhernandez@ywhi.org,C9501,Main Site,OAC,,,,10,De La Rosa,40.85999258,-73.92912903
De La Rosa,YES,cothoalunc@aol.com,FY24 SC 098,Cothoa Luncheon Club,2005 Amsterdam Avenue ,Manhattan,10032,10,10,Manhattan CD12,Jane Ruddy,212-781-6580,cothoalunc@aol.com,C2601,Main Site,OAC,cothoalunc@aol.com,Jane Ruddy,,10,De La Rosa,40.83432526,-73.94095159
De La Rosa,NO,,FY24 SC 099,EL CORAZON NNORC,4026 BROADWAY,Manhattan,10032,10,10,112,Masiel Veras,212-342-9364,mveras@mjhs.org,3N1,Discretionary,NORC,,,,10,De La Rosa,40.84193261,-73.93904742
De La Rosa,NO,,FY24 SC 100,ISABELLA GERIATRIC FT GEORGE VISTAS NORC,17 FT. GEORGE HILL,Manhattan,10040,10,10,112,Miriam Colon,212-304-1064,mcolon@mjhs.org; cban@mjhs.org,N56,DFTA-Funded,NORC,,,,10,De La Rosa,40.85769975,-73.92750472
De La Rosa,YES,m.garcia@mmcc.org,FY24 SC 109,MMCC-CDC Older Adult Center Marble Hill,5365 Broadway,Bronx,10463,10,10,Bronx CD8,Maria Garcia,718-562-8551,m.garcia@mmcc.org,C2003,Main Site,OAC,m.garcia@mmcc.org,"Maria Garcia, PhD",,10,De La Rosa,40.8760615,-73.90788596
De La Rosa,YES,dyckmanseniorcenter@gmail.com,FY24 SC 102,NYFSC Dyckman Older Adult Center,3754 10th Avenue,Manhattan,10034,10,10,Manhattan CD12,Carol Weeks,212-569-7790,dyckmanseniorcenter@gmail.com,C5101,Main Site,OAC,dyckmanseniorcenter@gmail.com,Carol Weeks ,FY24 SC 102,10,De La Rosa,40.86084405,-73.92158686
De La Rosa,YES,priscilla.minaya@raininc.org,FY24 SC 104,RAIN Inwood OAC,84 Vermilyea Avenue,Manhattan,10034,10,10,Manhattan CD12,Priscilla Minaya,"212-567-3200, Ext: 325",priscilla.minaya@raininc.org,C5806,Main Site,OAC,priscilla.minaya@raininc.org,Priscilla Minaya,,10,De La Rosa,40.8658377,-73.92312838
De La Rosa,YES,Ljpena@starseniorcenter.org,FY24 SC 105,Washington Heights Neighborhood Senior Center (STAR OAC),650 West 187th Street,Manhattan,10033,10,10,Manhattan CD12,Leidy Jorge-Pena,212-781-8331,ljpena@starseniorcenter.org,C8901,Main Site,OAC,Ljpena@starseniorcenter.org,Leidy Jorge Pena,,10,De La Rosa,40.85367904,-73.93249389
Dinowitz,YES,bbutler@riverdaley.org,FY24 SC 106,AMALGAMATED PK RESEVOIR NORC,98 VAN CORTLANDT PARK SOUTH,Bronx,10463,11,11,208,Bayla Butler,718-548-4990,bbutler@riverdaley.org,N74,DFTA-Funded,NORC,bbutler@riverdaley.org,Bayla Butler LMSW,,11,Dinowitz,40.88501429,-73.89162466
Dinowitz,YES,iortiz@jasa.org,FY24 SC 054,JASA Van Cortlandt Older Adult Center,3880 Sedgwick Avenue,Bronx,10465,11,11,Bronx CD8,Indira Ortiz,718 549-4700,iortiz@jasa.org,C8310,Main Site,OAC,iortiz@jasa.org,Indira Ortiz,,11,Dinowitz,40.88299641,-73.89400753
Dinowitz,YES,mdoyle@mmcc.org,FY24 SC 101,MMCC-CDC Older Adult Center Main Building,3450 Dekalb Avenue,Bronx,10467,11,11,Bronx CD9,Maya Doyle,718-798-6601,mdoyle@mmcc.org,C2002,Main Site,OAC,mdoyle@mmcc.org,Maya Doyle,,11,Dinowitz,40.88148536,-73.88122632
Dinowitz,YES,sasherman@riverdaley.org,FY24 SC 110,New Beginnings (Riverdale Y),5625 Arlington Avenue,Bronx,10471,11,11,Bronx CD8,Sharon Asherman,718-548-8200,sasherman@riverdaley.org,C9701,Main Site,OAC,sasherman@riverdaley.org,Sharon Asherman,,11,Dinowitz,40.9050091,-73.90713317
Dinowitz,YES,Dilia.Sanabria@raininc.org,FY24 SC 131,RAIN Nereid OAC,720 Nereid Avenue,Bronx,10466,11,11,Bronx CD12,Dilia Sanabria,"718-994-0132, Ext: 345",dilia.sanabria@raininc.org,C5809,Main Site,OAC,Dilia.Sanabria@raininc.org,Dilia Sanabria,,11,Dinowitz,40.89815776,-73.85356829
Dinowitz,YES,acassidy@rssny.org,FY24 SC 111,RSS Center for Ageless Living,2600 Netherland Avenue,Bronx,10463,11,11,Bronx CD8,Andria Cassidy,718-884-5900,jdalton@rssny.org,C6101,Main Site,OAC,acassidy@rssny.org,"Andria Cassidy, Deputy Director ",,11,Dinowitz,40.87874354,-73.91567866
Dinowitz,YES,pburlace@annunciata.org,FY24 SC 112,Sister Annunciata Bethell OAC,243 East 204th Street,Bronx,10458,11,11,Bronx CD8,Patricia Burlace,718-365-3725,pburlace@annunciata.org,C0701,Main Site,OAC,pburlace@annunciata.org,Patricia A. Burlace,FY24 SC 112,11,Dinowitz,40.87420423,-73.88445748
Farias,YES,chervin@iprhe.org,FY24 SC 158,Bronx River,1619 East 174 Street,Bronx,10472,17,18,Bronx CD9,Collette Howell-Ervin,718-617-6334,CHErvin@iprhe.org,W1602,Main Site,OAC,chervin@iprhe.org,Collette Howell-Ervin,,18,Farias,40.83395,-73.87614718
Farias,NO,,FY24 SC 136,Bronxworks Soundview,391 Bronx River Avenue ,Bronx,10473,18,18,Bronx CD9,Maria Rivera,646-988-3606,mrivera@bronxworks.org,C1107,Main Site,OAC,,,,18,Farias,40.81462845,-73.86742242
Farias,YES,ntambini@centerlight.org,FY24 SC 160,Center Light PARKCHESTER ENHANCED NORC,1525 UNIONPORT ROAD,Bronx,10462,18,18,209,Nicole Tambini,718-409-1619,ntambini@centerlight.org,N51,DFTA-Funded,NORC,ntambini@centerlight.org,Nicole Tambini,,18,Farias,40.8365846,-73.85689847
Farias,YES,glisette.rivera@iprhe.org,FY24 SC 161,James Monroe,1780 Story Avenue,Bronx,10473,18,18,Bronx CD9,Glisette Rivera,718-893-3484,glisette.rivera@iprhe.org,W1605,Main Site,OAC,glisette.rivera@iprhe.org,Glisette Rivera,,18,Farias,40.82326419,-73.8657793
Farias,YES,emily.pelayo@kipsbay.org,FY24 SC 162,Kips Bay Castle Hill OAC,625 Castle Hill Avenue,Bronx,10473,18,18,Bronx CD9,Emily Pelayo,718-319-9156,emily.pelayo@kipsbay.org,C4801,Main Site,OAC,emily.pelayo@kipsbay.org,Emily Pelayo,,18,Farias,40.81975386,-73.8482094
Farias,YES,alison.ortiz@raininc.org,FY24 SC 163,RAIN Parkchester OAC,1380 Metropolitan Avenue,Bronx,10462,18,18,Bronx CD9,Alison Ortiz,718-239-4358 / 718-597-9220,alison.ortiz@raininc.org,C5810,Main Site,OAC,alison.ortiz@raininc.org,Alison Ortiz,,18,Farias,40.83514049,-73.86106104
Farias,YES,sarroyo@nshopp.org,FY24 SC 164,SHOPP Soundview Social Club,1674 Seward Avenue,Bronx,10473,18,18,Bronx CD9,Sandra Arroyo, 917-915-4016,sarroyo@nshopp.org ,W2302,Affiliated,OAC,sarroyo@nshopp.org,Sandra Arroyo,FY24 SC 164,18,Farias,40.81825423,-73.8698322
Farias,YES,kbrooks@ymcanyc.org,FY24 SC 165,YMCA - Glebe Older Adult Community Hub ,2125 Glebe Avenue,Bronx,10462,18,18,Bronx CD9,Kiyana Brooks,718-829-1564 x4,kbrooks@ymcanyc.org,C9301,Main Site,OAC,kbrooks@ymcanyc.org,Kiyana Brooks ,,18,Farias,40.83509966,-73.85036795
Feliz,YES,ssmart@bronxworks.org,FY24 SC 135,Bronxworks East Concourse (My Spot/Mi Rincon OAC),236 East Tremont Ave,Bronx,10457,15,15,Bronx CD5,Solomon Smart,718 731-6300,ssmart@bronxworks.org,C1103,Main Site,OAC,ssmart@bronxworks.org,Solomon Smart,,15,Feliz,40.84893568,-73.90456201
Feliz,NO,,FY24 SC 159,Bronxworks Twin Parks West,355 E 183 Street,Bronx,10458,15,15,Bronx CD5,Robert Corrigan,347-270-1710,rcorrigan@bronxworks.org,C1105,Main Site,OAC,,,,15,Feliz,40.85639112,-73.89599115
Feliz,YES,hsolomon@pssusa.org,FY24 SC 137,PSS Parkside,644 Adee Avenue ,Bronx,10467,12,15,Bronx CD11,Huda Solomon,718-881-7780,hsolomon@pssusa.org ,W1901,Main Site,OAC,hsolomon@pssusa.org,Huda Solomon,,15,Feliz,40.86967006,-73.86910604
Feliz,YES,joenny.castillo@raininc.org,FY24 SC 138,RAIN Mt Carmel OAC,2405 Southern Boulevard,Bronx,10462,15,15,Bronx CD6,Joenny Castillo,"718-733-8852, Ext: 390",Joenny.castillo@raininc.org,C5808,Main Site,OAC,joenny.castillo@raininc.org,Joenny Castillo ,,15,Feliz,40.85377248,-73.88155776
Feliz,YES,rrosario@nshopp.org,FY24 SC 157,SHOPP Thomas Guess OAC,2070 Clinton Avenue,Bronx,10457,15,15,Bronx CD7,Ruby Rosario,718-584-2357,rrosario@nshopp.org,C8401,Main Site,OAC,rrosario@nshopp.org,Ruby Rosario,,15,Feliz,40.84723564,-73.88810069
Gennaro,YES,dhorton@allencnp.org,FY24 SC 114,Allen Shelton Affiliate,89-09 162nd Street,Queens,11432,27,24,Queens CD12,Dion Horton,718 657-5075,dhorton@allencnp.org,C0203,Affiliated,OAC,dhorton@allencnp.org,DIon Horton,,24,Gennaro,40.70657032,-73.79906097
Gennaro,YES,kavita @indiahome.org,FY24 SC 197,India Home Desi Senior Center,178-36 Wexford Terrace,Queens,11432,24,24,Queens CD8,Kavita Shan,(917)825-1559,kavita@indiahome.org,C4401,Main Site,OAC,kavita @indiahome.org,Kavita Shah,,24,Gennaro,40.71350758,-73.78456079
Gennaro,NO,,FY24 SC 198,Jamaica Muslim Center,85-37 168th Street,Queens,11432,24,24, ,Kavita Shan,(917)825-1559,kavita@indiahome.org,C4402,Affiliated,OAC,,,,24,Gennaro,40.7132463,-73.79633907
Gennaro,YES,dbvasquez@qchnyc.org,FY24 SC 218,Jamaica OAC,89-60 164th Street,Queens,11420,27,24, ,Daisy Baez-Vasquez, 917-496-2357,dbvasquez@qchnyc.org,CC201,Main Site,OAC,dbvasquez@qchnyc.org,Daisy Baez-Vasquez,,24,Gennaro,40.70705239,-73.79692427
Gennaro,YES,ydmckain@qchnyc.org,FY24 SC 204,QCH Pomonok OAC,67-09 Kissena Boulevard,Queens,11367,24,24,Queens CD8,Yvette Dick -McKain   ,718-591-3377,YDMcKain@qchnyc.org,C5603,Main Site,OAC,ydmckain@qchnyc.org,Yvette Dick-McKain,,24,Gennaro,40.73503236,-73.81472562
Gennaro,YES,youngisraelsenior@nyc.rr.com,FY24 SC 240,Young Israel Programs Queens Valley II,141-55 77th Avenue,Queens,11367,24,24,Queens CD8,Alan Gombo,718-263-6995,youngisraelsenior@nyc.rr.com,C9403,Main Site,OAC,youngisraelsenior@nyc.rr.com,Alan Gombo,,24,Gennaro,40.72112725,-73.81982213
Gutierrez,YES,Jdumay@jasa.org,FY24 SC 253,JASA BUSHWICK HYLAN NORC,50 HUMBOLDT STREET,Brooklyn,11206,34,34,301,Jean Dumay,718-408-7532,jdumay@jasa.org,N68-02,DFTA-Funded- NYCHA,NORC,Jdumay@jasa.org,Jean Dumay,,34,Gutierrez,40.70317873,-73.9407612
Gutierrez,NO,,FY24 SC 191,JASA Williamsburg Older Adult Center,202 Graham Avenue,Brooklyn,11206,34,34,Brooklyn CD1,Jessica Infante,718-388-6865,help@jasa.org,C8311,Main Site,OAC,,,,34,Gutierrez,40.70887821,-73.9434433
Gutierrez,YES,Mnieves@stnicksalliance.org,FY24 SC 254,LINDSAY PARK NORC,31 Leonard Street,Brooklyn,11206,34,34,301,Mayra Nieves,718-874-0102,mnieves@stnicksalliance.org,N64,DFTA-Funded,NORC,Mnieves@stnicksalliance.org,Mayra Nieves ,,34,Gutierrez,40.70427924,-73.94606204
Gutierrez,YES,gboszeta@riseboro.org,FY24 SC 255,Palmetto Gardens Senior Club,85 Palmetto Street,Brooklyn,11221,37,34,Brooklyn CD4,"NA, Vacant- Contact Marisol ",718-676-0876,elizardo@riseboro.org,W2005,Affiliated,OAC,gboszeta@riseboro.org,Interim - Gianina Boszeta ,,34,Gutierrez,40.69159891,-73.9188398
Gutierrez,YES,rortiz@riseboro.org,FY24 SC 256,Riseboro Borinquen Plaza ,80 Seigel Street ,Brooklyn,11206,34,34,Brooklyn CD1,Rosemarie Ortiz , (718) 603-9080,rortiz@riseboro.org,W2001,Main Site,OAC,rortiz@riseboro.org,Rosemarie Ortiz,,34,Gutierrez,40.70436598,-73.94377533
Gutierrez,YES,rmorales@riseboro.org,FY24 SC 257,Riseboro Diana Jones ISC,9 Noll Street,Brooklyn,11206,34,34,Brooklyn CD4,Roxana Morales,(718) 782-3601 Ext. 1101    ,nruiz@riseboro.org,W2003,Main Site,OAC,rmorales@riseboro.org,Roxana Morales,,34,Gutierrez,40.70016225,-73.93567516
Gutierrez,YES,ibowens@riseboro.org,FY24 SC 258,Roundtable Senior,1175 Gates Avenue ,Brooklyn,11206,37,34,Brooklyn CD4,Ivory Bowens,718 443-1903,info@riseboro.org,W2007,Main Site,OAC,ibowens@riseboro.org,Ivory Bowens,,34,Gutierrez,40.6917067,-73.91990705
Gutierrez,YES,siglesias@lossures.org,FY24 SC 259,"Southside Los Sures ""David Santiago""",201 South 4th Street,Brooklyn,11211,34,34,Brooklyn CD1,Sonia Iglesias,718-384-2314,rsirotabassin@lossures.org,C7101,Main Site,OAC,siglesias@lossures.org,Sonia Iglesias,,34,Gutierrez,40.71088066,-73.96016023
Gutierrez,YES,dperez@stnicksalliance.org,FY24 SC 260,St Nicks Alliance Cooper Park Social Club,288 Frost Street,Brooklyn,11211,34,34,Brooklyn CD1,Denise Perez,718-408 6328,dperez@stnicksalliance.org,C7501,Main Site,OAC,dperez@stnicksalliance.org,Denise Perez,,34,Gutierrez,40.71883714,-73.93985623
Gutierrez,YES,ckamen@stnicksalliance.org,FY24 SC 261,St Nicks Alliance Swinging Sixties OAC,211 Ainslie Street,Brooklyn,11211,34,34,Brooklyn CD1,"Cheryl Kamen; Rachida Rouias,Assistant Director,Swinging Sixties OAC","718.963.3793, Ext. 910",ckamen@stnicksalliance.org; rrouias@stnicksalliance.org,C7502,Main Site,OAC,ckamen@stnicksalliance.org,"Cheryl L. Kamen, LMSW, Deputy Director of Elder Care For OACs & NORC",,34,Gutierrez,40.71297162,-73.94545262
Hanif,YES,Edugansc@aol.com,FY24 SC 288,Eileen Dugan Senior Center,378 Court Street,Brooklyn,11231,39,39,Brooklyn CD6,Carol Rembert,718-596-1956,edugansc@aol.com,W1101,Main Site,OAC,Edugansc@aol.com,Carol Reid -Rembert,FY24 SC 288,39,Hanif,40.68137026,-73.99639095
Hanif,YES,mabrams@heightsandhills.org,FY24 SC 289,Park Slope Ctr for Successful Aging,463A 7th Street,Brooklyn,11218,39,39,Brooklyn CD6   ,Matthew Abrams,718-832-3726,mabrams@heightsandhills.org,C4001,Main Site,OAC,mabrams@heightsandhills.org,Matt Abrams,,39,Hanif,40.66841893,-73.98120126
Hanif,YES,jeradiri@yahoo.com,FY24 SC 290,Prospect Hill NSC,283 Prospect Avenue,Brooklyn,11215,39,39,Brooklyn CD7   ,Jackie Eradiri,718 499 9574,jeradiri@yahoo.com,C7401,Main Site,OAC,jeradiri@yahoo.com,jacqueline eradiri,,39,Hanif,40.66332291,-73.98916497
Hanks,YES,ldellasalla@cc-si.org,FY24 SC 363,Anderson Neighborhood Senior Center,120 Anderson Avenue,Staten Island,10302,49,49,Staten Island CD1  ,Lauren Della Salla,718-448-5757,ldellasalla@cc-si.org,C1801,Main Site,OAC,ldellasalla@cc-si.org,Lauren Della Salla,,49,Hanks,40.63492692,-74.13442196
Hanks,YES,jacqueline.west@cascsiny.org,FY24 SC 364,CASC Cassidy Coles NSC,125 Cassidy Place,Staten Island,10301,49,49,Staten Island CD1  ,Jacqueline West,718-273-6808,jacqueline.west@cascsiny.org,C2201,Main Site,OAC,jacqueline.west@cascsiny.org,JACQUELINE WEST,,49,Hanks,40.64188736,-74.09648948
Hanks,YES,glenda.martinez@cascsiny.org,FY24 SC 365,CASC New Lane NSC,70 New Lane,Staten Island,10301,49,49,Staten Island CD1  ,Glenda Martinez,718-448-5936,glenda.martinez@cascsiny.org,C2202,Main Site,OAC,glenda.martinez@cascsiny.org,Glenda Martinez,,49,Hanks,40.61281072,-74.06225611
Hanks,YES,mrivera@jcc.com,FY24 SC 366,JCC GO KOSSAH (Stapleton NNORC),189 Gordon Street,Staten Island,10304,49,49,501,Maritza Rivera,718-981-8828,mrivera@sijcc.com,5AC,Discretionary-NYCHA,NORC,mrivera@jcc.com,Maritza Rivera,,49,Hanks,40.62312364,-74.08283846
Hanks,YES,mrivera@jcc.com,FY24 SC 368,Stapelton OAC,189 Gordon Street,Staten Island,10304,49,49,Staten Island CD1  ,Maritza Rivera,718-981-8828,MRivera@SIJCC.COM,W1703,Main Site,OAC,mrivera@jcc.com,Maritza Rivera,,49,Hanks,40.62312364,-74.08283846
Hanks,YES,tdesienathfc@gmail.com,FY24 SC 375,Todt Hill OAC,184 Schmidts Lane,Staten Island,10314,49,49,Staten Island CD1  ,Lillian Hughes,718-698-7979,lhughesthfc@gmail.com,C7705,Main Site,OAC,tdesienathfc@gmail.com,Todd DeSiena,,49,Hanks,40.60905771,-74.11905251
Hanks,YES,LSPIVEY@CC-SI.ORG,FY24 SC 369,West Brighton Neighborhood Senior Center,230 Broadway,Staten Island,10310,49,49,Staten Island CD1  ,La'Rae Spivey,718-727-9793 ,lspivey@cc-si.org,C1802,Main Site,OAC,LSPIVEY@CC-SI.ORG,LARAE SPIVEY ,,49,Hanks,40.63648526,-74.11752332
Holden,YES,zallevy2@gmail.com,FY24 SC 230,Middle Village OAC,69-10 75th Street,Queens,11379,30,30,Queens CD5,Rabbi Richard Levy,718-894-3441,middlevillageadultcenter@gmail.com,C5701,Main Site,OAC,zallevy2@gmail.com,Rabbi Richard Levy,FY24 SC 230,30,Holden,40.70928441,-73.87666376
Holden,YES,PCSENIORS@NYC.RR.COM,FY24 SC 231,Peter Cardella Older Adult Center,68-52 Fresh Pond Road,Queens,11385,30,30,Queens CD5,Barbara Toscano,718-497-2908,pcseniors@nyc.rr.com,C5401,Main Site,OAC,PCSENIORS@NYC.RR.COM,BARBARA TOSCANO,,30,Holden,40.70387406,-73.89567368
Holden,YES,ecostea.roacny@gmail.com,FY24 SC 232,"Ridgewood Older Adult Center And Services, Inc",5914 70th Avenue,Queens,11385,30,30,Queens CD5,Elena Costea,718-456-2000,ROAC5914@gmail.com,C5901,Main Site,OAC,ecostea.roacny@gmail.com,Elena Costea,,30,Holden,40.70119079,-73.90002374
Holden,YES,mdixon@selfhelp.net,FY24 SC 233,Selfhelp Maspeth,69-61 Grand Avenue ,Queens,11378,30,30,Queens CD5,Maria Dixon,718-429-3636,mdixon@selfhelp.net,W2105,Main Site,OAC,mdixon@selfhelp.net,Maria Dixon,,30,Holden,40.72701871,-73.89355568
Hudson,YES,michelle.williams@ccbq.org,FY24 SC 248,CCNS St Louis OAC,230 Kingston Avenue,Brooklyn,11213,35,35,Brooklyn CD8,Michelle Williams,718-771-7945,Michelle.williams@ccbq.org,C1715,Main Site,OAC,michelle.williams@ccbq.org,MIchelle Williams,FY24 SC 248,35,Hudson,40.67182034,-73.94198228
Hudson,YES,sfletcher@fortgreenecouncil.org,FY24 SC 263,Grace Agard Harewood OAC ,966 Fulton Street,Brooklyn,11238,35,35,Brooklyn CD2   ,Septimus Fletcher,718-638-6910,sfletcher@fortgreenecouncil.org,C3501,Main Site,OAC,sfletcher@fortgreenecouncil.org,Septimus Fletcher,,35,Hudson,40.68248671,-73.96217825
Hudson,YES,sjohnson@raices.us,FY24 SC 264,RAICES  Farragut OAC Satellite,228 York Street,Brooklyn,11201,35,35,Brooklyn CD2   ,Sheila Johnson,718 624 0771,sjohnson@raices.us,C7207,Affiliated,OAC,sjohnson@raices.us,Sheila Johnson,,35,Hudson,40.70130413,-73.98176182
Hudson,NO,,FY24 SC 093,SAGE Center Brooklyn at Stonewall House,271 Myrtle Avenue,Brooklyn,11201,35,35,Brooklyn CD2   ,Odinakachi Chigewe ,(646)518-9744,ochigewe@sageusa.org,C6903,Main Site,OAC,,,,35,Hudson,40.69345345,-73.97804247
Hudson,YES,Ksemplecain@fortgreenecouncil.org,FY24 SC 266,Willoughby OAC,105 North Portland Avenue,Brooklyn,11205,35,35,Brooklyn CD2   ,Kenesha Semple,718-875-1011,ksemple@fortgreenecouncil.org,C3504,Main Site,OAC,Ksemplecain@fortgreenecouncil.org,Kenesha Semple-Cain,,35,Hudson,40.69478153,-73.97611634
Jordan,YES,richard@arcseniors.org,FY24 SC 083,ARC XVI A Philip Randolph Center (ARC Ft Washington NSC),108 West 146 Street,Manhattan,10039,9,9,Manhattan CD10,Richard Allman,212-281-1349,richard@arcseniors.org,C0501,Main Site,OAC,richard@arcseniors.org,Richard Allman,,9,Jordan,40.82134029,-73.93631676
Jordan,YES,Jessika@arcseniors.org,FY24 SC 084,ARC XVI Central Harlem Center,120 West 140th Street ,Manhattan,10030,9,9,Manhattan CD10,Jessika Roldan,347-919-5072,jessika@arcseniors.org,C0502,Main Site,OAC,Jessika@arcseniors.org,Jessika Roldan,,9,Jordan,40.81757888,-73.93927204
Jordan,YES,Lrsmaav60@gmail.com,FY24 SC 085,Canaan Senior Service Center,1428 5th Avenue,Manhattan,10035,9,9,Manhattan CD10,Kim Parker,212-876-2638,canaansenior@gmail.com,C1501,Main Site,OAC,Lrsmaav60@gmail.com,Kim Parker ,,9,Jordan,40.80114962,-73.9461208
Jordan,NO,,FY24 SC 107,Central Harlem  Lincoln,60 E 135th Street,Manhattan,10035,9,9,Manhattan CD11,Alishia Thomas,212-926-4871/4465,athomas@chscc.org,C1903,Affiliated,OAC,,,,9,Jordan,40.81160949,-73.93493526
Jordan,NO,,FY24 SC 097,Central Harlem Kennedy,34 W. 134th Street,Manhattan,10037,9,9,Manhattan CD10,Alishia Thomas,212-926-4871/4465,athomas@chscc.org,C1901,Main Site,OAC,,,,9,Jordan,40.8127017,-73.93964497
Jordan,YES,vjohnson@chscc.org,FY24 SC 086,Central Harlem SC Ctr Beatrice Lewis,2322 Third Avenue,Manhattan,10035,8,9,Manhattan CD11,Vivian Johnson,212-289-9155,vjohnson@chscc.org,C1904,Main Site,OAC,vjohnson@chscc.org,Vivian Johnson,,9,Jordan,40.80446515,-73.93526011
Jordan,YES,Mwarrell@chscc.org,FY24 SC 087,Central Harlem St Nick ,210 W. 131st Street,Manhattan,10027,9,9,Manhattan CD10,Monica Warrell,646-678-4451,MWarrell@chscc.org,C1902,Affiliated,OAC,Mwarrell@chscc.org,Monica Warrell ,,9,Jordan,40.81297665,-73.94614013
Jordan,YES,cmartinez@foodbanknyc.org,FY24 SC 088,Food Bank For New York City OAC,252 West 116th Street,Manhattan,10026,9,9,Manhattan CD10,Charles Martinez,212-566-7855 Ext 6452,cmartinez@foodbanknyc.org; ndone@foodbanknyc.org; zhall@foodbanknyc.org; hsmith@foodbanknyc.org,C3401,Main Site,OAC,cmartinez@foodbanknyc.org,Zac Hall,,9,Jordan,40.80417804,-73.95481267
Jordan,YES,cothoalunc@aol.com,FY24 SC 089,Polo Grounds Satellite ,2965 Frederick Douglass Boulevard,Manhattan,10039,9,9,Manhattan CD10,Marcus Guevara,212-283-5475,pgsc157@gmail.com,C2602,Affiliated,OAC,cothoalunc@aol.com,Jane Ruddy,FY24 SC 089,9,Jordan,40.83024151,-73.93649976
Jordan,YES,rwilson2pssusa.org,FY24 SC 090,PSS Harlem,127 West 127th Street,Manhattan,10027,9,9,Manhattan CD10,Rorima Wilson,212-222-3132,rwilson@pssusa.org,W1906,Main Site,OAC,rwilson2pssusa.org,Rorima Wilson,,9,Jordan,40.8094878,-73.94549634
