Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,geoclient,lat,lon
Brewer,YES,mmason@goddard.org,FY24 SC 052,Goddard Riverside OAC at West 88th Street,593 Columbus Avenue,Manhattan,10024,,6,Manhattan CD7,Marcia Mason,212-873-6600 ext. 1060,mmason@goddard.org,C3602,Main Site,OAC,mmason@goddard.org,Marcia Mason,,6,Brewer,"593%20Columbus%20Avenue,%20Manhattan,%2010024",40.78821165188717,-73.97090431729276
Brewer,YES,Nkaminsky@goddard.org,FY24 SC 053,GODDARD RIVERSIDE WEST SIDE NORC,593 COLUMBUS AVENUE,Manhattan,10024,,6,107,Nina Kaminsky,212-665-3853,nkaminsky@goddard.org,N52-02,DFTA-Funded,NORC,Nkaminsky@goddard.org,Nina Kaminsky,,6,Brewer,"593%20COLUMBUS%20AVENUE,%20Manhattan,%2010024",40.78821165188717,-73.97090431729276
Brewer,YES,jinfante@jasa.org,FY24 SC 108,JASA Club 76 Older Adult Center,120 West 76th Street,Manhattan,10023,,6,Manhattan CD7,Jessica Infante,212-273-5200,jinfante@jasa.org,C8304,Main Site,OAC,jinfante@jasa.org,Jessica Infante,,6,Brewer,"120%20West%2076th%20Street,%20Manhattan,%2010023",40.780341278285135,-73.97773939669301
Brewer,YES,hzinn@lincolnhouseoutreach.org,FY24 SC 055,LINCOLN HOUSE OUTREACH NORC,303 W. 66TH STREET,Manhattan,10023,,6,107,Holly Zinn,212-875-8958,hzinn@lincolnhouseoutreach.org,N36,Discretionary,NORC,hzinn@lincolnhouseoutreach.org,Holly Zinn,,6,Brewer,"303%20W.%2066TH%20STREET,%20Manhattan,%2010023",40.776107614908796,-73.98743159237668
Brewer,YES,vzakhary@goddard.org,FY24 SC 056,LINCOLN SQUARE NORC,250 W. 66TH STREET,Manhattan,10023,,6,107,Viktoriia Zakhary ,212-724-6720,vzakhary@goddard.org,N52-01,DFTA-Funded- NYCHA,NORC,,,,6,Brewer,"250%20W.%2066TH%20STREET,%20Manhattan,%2010023",40.77524553461443,-73.98545318620366
Brooks-Powers,YES,vkrugolets@jasa.org,FY24 SC 234,JASA Brookdale Village,131 Beach 19th Street,Queens,11691,,31,queens CD14,Victoria Krugolets,718-471-3200,vkrugolets@jasa.org,W2204,Main Site,OAC,vkrugolets@jasa.org,Viktoriya Krugolets,,31,Brooks-Powers,"131%20Beach%2019th%20Street,%20Queens,%2011691",40.5937607120463,-73.7532067304345
Brooks-Powers,YES,schery@jasa.org,FY24 SC 235,JASA NNORC- FAR ROCKAWAY,131 BEACH 19TH. STREET,Queens ,11691,,31,414,Stephania Chery,929-374-0219,schery@jasa.org,6XE,Discretionary,NORC,schery@jasa.org,Stephania Chery,FY24 SC 235,31,Brooks-Powers,"131%20BEACH%2019TH.%20STREET,%20Queens%20,%2011691",40.5937607120463,-73.7532067304345
Brooks-Powers,YES,fsimon@jasa.org,FY24 SC 236,JASA Roy Reuther ,711 Seagirt Avenue,Queens,11691,,31,queens CD14,Fran Simon,718-471-3110,fsimon@jasa.org,W2205,Main Site,OAC,fsimon@jasa.org,Fran Simon,,31,Brooks-Powers,"711%20Seagirt%20Avenue,%20Queens,%2011691",40.595995496313634,-73.74218707271653
Brooks-Powers,YES,kthompson@oceanbaycdc.com,FY24 SC 237,Ocean Bay CDC Older Adult Center,74-16 Beach Channel Drive,Queens,11693,,31,Queens CD14,Kahlii Thompson,718 945-8640 ext 214,kthompson@oceanbaycdc.com,C5301,Main Site,OAC,kthompson@oceanbaycdc.com,Kahlii Thompson,,31,Brooks-Powers,"74-16%20Beach%20Channel%20Drive,%20Queens,%2011693",40.59074611222627,-73.80248437731086
Brooks-Powers,YES,deborahbowers255@gmail.com,FY24 SC 238,Robert Couche,137-57 Farmers Boulevard,Queens,11434,,31,Queens CD12,Deborah Bowers,718-978-8352,deborahbowers255@gmail.com,CC301,Main Site,OAC,deborahbowers255@gmail.com,Deborah Bowers,,31,Brooks-Powers,"137-57%20Farmers%20Boulevard,%20Queens,%2011434",40.67250995683069,-73.76413763528363
Brooks-Powers,YES,ccahn@snapqueens.org,FY24 SC 239,SNAP Brookville OAC,133-33 Brookville Boulevard,Queens,11422,,31,Queens CD13,Marian Lewek,718-454-2100 x,mlewek8@aol.com,C7002,Main Site,OAC,ccahn@snapqueens.org,Cathy Cahn,,31,Brooks-Powers,"133-33%20Brookville%20Boulevard,%20Queens,%2011422",40.674395613614344,-73.73274872485705
Brooks-Powers,YES,alicekwitkin@gmail.com,FY24 SC 362,Young Israel Wavecrest & Bayswater Senior League,2716 Healy Avenue,Queens,11691,,31,Queens CD14,Alice Kwitkin,718-327-0297,alicekwitkin@gmail.com,C9404,Main Site,OAC,alicekwitkin@gmail.com,Alice Kwitkin,,31,Brooks-Powers,"2716%20Healy%20Avenue,%20Queens,%2011691",40.60414858748265,-73.76573682648281
Caban,YES,jleon@raices.us,FY24 SC 245,Astoria NSC ,21-21 30th Drive ,Queens,11102,,22,Queens CD1,Jenedier Leon,718-726-9642,jleon@raices.us,C7209,Main Site,OAC,jleon@raices.us,Jenedier Leon,,22,Caban,"21-21%2030th%20Drive%20,%20Queens,%2011102",40.76813486428725,-73.92891630369965
Caban,YES,michael.singh@ccbq.org,FY24 SC 247,CCNS DellaMonica- Steinway OAC,23-11 31st Road,Queens,11106,,22,Queens CD1,Michael Singh,718-626-1500,Michael.singh@ccbq.org,C1702,Main Site,OAC,michael.singh@ccbq.org,Michael Singh,,22,Caban,"23-11%2031st%20Road,%20Queens,%2011106",40.765807262385394,-73.92881770748849
Caban,YES,Spajaj@hanac.org,FY24 SC 166,HANAC Harmony JVL Innovative Older Adult Center,27-40 Hoyt Avenue South,Queens,11102,,22,Queens CD1,Sofia Suada Pajaj,718-396-5002,spajaj@hanac.org,C3902,Main Site,OAC,Spajaj@hanac.org,Sofia Pajaj,,22,Caban,"27-40%20Hoyt%20Avenue%20South,%20Queens,%2011102",40.771856237103755,-73.91979982147384
Caban,YES,azorlakki@hanac.org,FY24 SC 185,HANAC QUEENSVIEW NORC,33-34 CRESCENT STREET,Queens ,11106,,22,401,Anastasia Zorlakki <AZorlakki@hanac.org>,718-433-9045 ext 302,AZorlakki@hanac.org,N54,DFTA-Funded,NORC,azorlakki@hanac.org,Anastasia Zorlakki,,22,Caban,"33-34%20CRESCENT%20STREET,%20Queens%20,%2011106",40.76210515614538,-73.9297168983751
Caban,YES,Sblanco@raices.us,FY24 SC 187,RAICES Astoria Social Club,4-05 Astoria Boulevard,Queens,11102,,22,Queens CD1,Suyapa Blanco Temp. Acting Director,718-762-9642,sblanco@raices.us,C7210,Affiliated,OAC,Sblanco@raices.us,"Suyapa Blanco-Hernandez, Deputy Director",,22,Caban,"4-05%20Astoria%20Boulevard,%20Queens,%2011102",40.772946367136434,-73.93346749712548
Caban,YES,pmilteer@selfhelp.net,FY24 SC 188,SELFHELP BOULEVARD GARDENS NORC,51-42 30th Avenue ,Queens ,11377,,22,401,"Petra Milteer, ",646-648-3202,pmilteer@selfhelp.net ,N62-01,DFTA-Funded,NORC,pmilteer@selfhelp.net,Petra Milteer ,FY24 SC 188,22,Caban,"51-42%2030th%20Avenue%20,%20Queens%20,%2011377",40.759512840513956,-73.90498252463033
Carr,YES,Arrocharfriendship@si.rr.com,FY24 SC 370,Arrochar OAC,44 Bionia Avenue,Staten Island,10305,,50,Staten Island CD2,Maria Anselmo,718-698-7979,arrocharfriendship@si.rr.com,C7702,Main Site,OAC,Arrocharfriendship@si.rr.com,Maria Anselmo,,50,Carr,"44%20Bionia%20Avenue,%20Staten%20Island,%2010305",40.596712865786245,-74.07537708961772
Carr,YES,khagen@sijcc.com,FY24 SC 372,JCCSI Center for Lifelong Development (Bernikow OAC),1466 Manor Road,Staten Island,10314,,50,Staten Island CD2,Amelia Winter,718-475-5284,awinter@sijcc.com,W1701,Main Site,OAC,khagen@sijcc.com,Kristine Hagen,,50,Carr,"1466%20Manor%20Road,%20Staten%20Island,%2010314",40.594915246451656,-74.12539347801432
Carr,YES,newdorpsc@aol.com,FY24 SC 374,New Dorp Beach OAC,128 Cedar Grove Avenue,Staten Island,10306,,50,Staten Island CD2,"Joan Bradshaw (Cookie), Director ",718-814-3457 ,NewDorpSC@aol.com,C7704,Main Site,OAC,newdorpsc@aol.com,Joan Bradshaw,,50,Carr,"128%20Cedar%20Grove%20Avenue,%20Staten%20Island,%2010306",40.561466968862284,-74.1003286073133
De La Rosa,NO,,FY24 SC 322,Agudath Israel Moriah Older Adult Luncheon Club,90 Bennett Avenue,Manhattan,10033,,10,Manhattan CD12,Shuli Gutmann,212-923-5715,moriahcenter@gmail.com,C0102,Main Site,OAC,,,,10,De La Rosa,"90%20Bennett%20Avenue,%20Manhattan,%2010033",40.853016477785665,-73.9353791313473
De La Rosa,YES,Robinson@arcseniors.org,FY24 SC 095,ARC XVI Ft Washington Center,516-520 W 181th Street,Manhattan,10033,,10,Manhattan CD12,Robinson Hernandez,212-781-5700,robinson@arcseniors.org,C0503,Main Site,OAC,Robinson@arcseniors.org,Robinson Hernandez,,10,De La Rosa,"516-520%20W%20181th%20Street,%20Manhattan,%2010033",40.84843616125337,-73.93164980166834
De La Rosa,NO,,FY24 SC 096,Center for Adults Living Well @ the Y (OAC),54 Nagle Avenue,Manhattan,10040,,10,Manhattan CD12,Diandria Hernandez,646-738-6084,dhernandez@ywhi.org,C9501,Main Site,OAC,,,,10,De La Rosa,"54%20Nagle%20Avenue,%20Manhattan,%2010040",40.85999258444881,-73.92912902527299
De La Rosa,YES,cothoalunc@aol.com,FY24 SC 098,Cothoa Luncheon Club,2005 Amsterdam Avenue ,Manhattan,10032,,10,Manhattan CD12,Jane Ruddy,212-781-6580,cothoalunc@aol.com,C2601,Main Site,OAC,cothoalunc@aol.com,Jane Ruddy,,10,De La Rosa,"2005%20Amsterdam%20Avenue%20,%20Manhattan,%2010032",40.83432526017879,-73.94095159499214
De La Rosa,NO,,FY24 SC 099,EL CORAZON NNORC,4026 BROADWAY,Manhattan,10032,,10,112,Masiel Veras,212-342-9364,mveras@mjhs.org,3N1,Discretionary,NORC,,,,10,De La Rosa,"4026%20BROADWAY,%20Manhattan,%2010032",40.84193260675512,-73.93904741522682
De La Rosa,NO,,FY24 SC 100,ISABELLA GERIATRIC FT GEORGE VISTAS NORC,17 FT. GEORGE HILL,Manhattan,10040,,10,112,Miriam Colon,212-304-1064,mcolon@mjhs.org; cban@mjhs.org,N56,DFTA-Funded,NORC,,,,10,De La Rosa,"17%20FT.%20GEORGE%20HILL,%20Manhattan,%2010040",40.85769975009885,-73.92750471649622
De La Rosa,YES,m.garcia@mmcc.org,FY24 SC 109,MMCC-CDC Older Adult Center Marble Hill,5365 Broadway,Bronx,10463,,10,Bronx CD8,Maria Garcia,718-562-8551,m.garcia@mmcc.org,C2003,Main Site,OAC,m.garcia@mmcc.org,"Maria Garcia, PhD",,10,De La Rosa,"5365%20Broadway,%20Bronx,%2010463",40.87606150395635,-73.90788595913352
De La Rosa,YES,dyckmanseniorcenter@gmail.com,FY24 SC 102,NYFSC Dyckman Older Adult Center,3754 10th Avenue,Manhattan,10034,,10,Manhattan CD12,Carol Weeks,212-569-7790,dyckmanseniorcenter@gmail.com,C5101,Main Site,OAC,dyckmanseniorcenter@gmail.com,Carol Weeks ,FY24 SC 102,10,De La Rosa,"3754%2010th%20Avenue,%20Manhattan,%2010034",40.86084405158096,-73.92158686186004
De La Rosa,YES,priscilla.minaya@raininc.org,FY24 SC 104,RAIN Inwood OAC,84 Vermilyea Avenue,Manhattan,10034,,10,Manhattan CD12,Priscilla Minaya,"212-567-3200, Ext: 325",priscilla.minaya@raininc.org,C5806,Main Site,OAC,priscilla.minaya@raininc.org,Priscilla Minaya,,10,De La Rosa,"84%20Vermilyea%20Avenue,%20Manhattan,%2010034",40.86583769593138,-73.92312838498789
De La Rosa,YES,Ljpena@starseniorcenter.org,FY24 SC 105,Washington Heights Neighborhood Senior Center (STAR OAC),650 West 187th Street,Manhattan,10033,,10,Manhattan CD12,Leidy Jorge-Pena,212-781-8331,ljpena@starseniorcenter.org,C8901,Main Site,OAC,Ljpena@starseniorcenter.org,Leidy Jorge Pena,,10,De La Rosa,"650%20West%20187th%20Street,%20Manhattan,%2010033",40.85367904376201,-73.93249388859428
Dinowitz,YES,bbutler@riverdaley.org,FY24 SC 106,AMALGAMATED PK RESEVOIR NORC,98 VAN CORTLANDT PARK SOUTH,Bronx,10463,,11,208,Bayla Butler,718-548-4990,bbutler@riverdaley.org,N74,DFTA-Funded,NORC,bbutler@riverdaley.org,Bayla Butler LMSW,,11,Dinowitz,"98%20VAN%20CORTLANDT%20PARK%20SOUTH,%20Bronx,%2010463",40.885014285207546,-73.89162466080221
Dinowitz,YES,iortiz@jasa.org,FY24 SC 054,JASA Van Cortlandt Older Adult Center,3880 Sedgwick Avenue,Bronx,10465,,11,Bronx CD8,Indira Ortiz,718 549-4700,iortiz@jasa.org,C8310,Main Site,OAC,iortiz@jasa.org,Indira Ortiz,,11,Dinowitz,"3880%20Sedgwick%20Avenue,%20Bronx,%2010465",40.88299640661087,-73.89400752920206
Dinowitz,YES,mdoyle@mmcc.org,FY24 SC 101,MMCC-CDC Older Adult Center Main Building,3450 Dekalb Avenue,Bronx,10467,,11,Bronx CD9,Maya Doyle,718-798-6601,mdoyle@mmcc.org,C2002,Main Site,OAC,mdoyle@mmcc.org,Maya Doyle,,11,Dinowitz,"3450%20Dekalb%20Avenue,%20Bronx,%2010467",40.88148536022017,-73.881226319304
Dinowitz,YES,sasherman@riverdaley.org,FY24 SC 110,New Beginnings (Riverdale Y),5625 Arlington Avenue,Bronx,10471,,11,Bronx CD8,Sharon Asherman,718-548-8200,sasherman@riverdaley.org,C9701,Main Site,OAC,sasherman@riverdaley.org,Sharon Asherman,,11,Dinowitz,"5625%20Arlington%20Avenue,%20Bronx,%2010471",40.905009099703484,-73.90713317499502
Dinowitz,YES,Dilia.Sanabria@raininc.org,FY24 SC 131,RAIN Nereid OAC,720 Nereid Avenue,Bronx,10466,,11,Bronx CD12,Dilia Sanabria,"718-994-0132, Ext: 345",dilia.sanabria@raininc.org,C5809,Main Site,OAC,Dilia.Sanabria@raininc.org,Dilia Sanabria,,11,Dinowitz,"720%20Nereid%20Avenue,%20Bronx,%2010466",40.8981577561587,-73.85356829338146
Dinowitz,YES,acassidy@rssny.org,FY24 SC 111,RSS Center for Ageless Living,2600 Netherland Avenue,Bronx,10463,,11,Bronx CD8,Andria Cassidy,718-884-5900,jdalton@rssny.org,C6101,Main Site,OAC,acassidy@rssny.org,"Andria Cassidy, Deputy Director ",,11,Dinowitz,"2600%20Netherland%20Avenue,%20Bronx,%2010463",40.87874353553109,-73.91567866115459
Dinowitz,YES,pburlace@annunciata.org,FY24 SC 112,Sister Annunciata Bethell OAC,243 East 204th Street,Bronx,10458,,11,Bronx CD8,Patricia Burlace,718-365-3725,pburlace@annunciata.org,C0701,Main Site,OAC,pburlace@annunciata.org,Patricia A. Burlace,FY24 SC 112,11,Dinowitz,"243%20East%20204th%20Street,%20Bronx,%2010458",40.874204225247496,-73.88445747993806
Farias,YES,chervin@iprhe.org,FY24 SC 158,Bronx River,1619 East 174 Street,Bronx,10472,,18,Bronx CD9,Collette Howell-Ervin,718-617-6334,CHErvin@iprhe.org,W1602,Main Site,OAC,chervin@iprhe.org,Collette Howell-Ervin,,18,Farias,"1619%20East%20174%20Street,%20Bronx,%2010472",40.833949998241465,-73.87614717923942
Farias,NO,,FY24 SC 136,Bronxworks Soundview,391 Bronx River Avenue ,Bronx,10473,,18,Bronx CD9,Maria Rivera,646-988-3606,mrivera@bronxworks.org,C1107,Main Site,OAC,,,,18,Farias,"391%20Bronx%20River%20Avenue%20,%20Bronx,%2010473",40.814628454157756,-73.86742241779507
Farias,YES,ntambini@centerlight.org,FY24 SC 160,Center Light PARKCHESTER ENHANCED NORC,1525 UNIONPORT ROAD,Bronx,10462,,18,209,Nicole Tambini,718-409-1619,ntambini@centerlight.org,N51,DFTA-Funded,NORC,ntambini@centerlight.org,Nicole Tambini,,18,Farias,"1525%20UNIONPORT%20ROAD,%20Bronx,%2010462",40.8365846048425,-73.85689846943423
Farias,YES,glisette.rivera@iprhe.org,FY24 SC 161,James Monroe,1780 Story Avenue,Bronx,10473,,18,Bronx CD9,Glisette Rivera,718-893-3484,glisette.rivera@iprhe.org,W1605,Main Site,OAC,glisette.rivera@iprhe.org,Glisette Rivera,,18,Farias,"1780%20Story%20Avenue,%20Bronx,%2010473",40.82326419245618,-73.86577930084542
Farias,YES,emily.pelayo@kipsbay.org,FY24 SC 162,Kips Bay Castle Hill OAC,625 Castle Hill Avenue,Bronx,10473,,18,Bronx CD9,Emily Pelayo,718-319-9156,emily.pelayo@kipsbay.org,C4801,Main Site,OAC,emily.pelayo@kipsbay.org,Emily Pelayo,,18,Farias,"625%20Castle%20Hill%20Avenue,%20Bronx,%2010473",40.81975386196576,-73.84820939506677
Farias,YES,alison.ortiz@raininc.org,FY24 SC 163,RAIN Parkchester OAC,1380 Metropolitan Avenue,Bronx,10462,,18,Bronx CD9,Alison Ortiz,718-239-4358 / 718-597-9220,alison.ortiz@raininc.org,C5810,Main Site,OAC,alison.ortiz@raininc.org,Alison Ortiz,,18,Farias,"1380%20Metropolitan%20Avenue,%20Bronx,%2010462",40.835140485265654,-73.86106103885628
Farias,YES,sarroyo@nshopp.org,FY24 SC 164,SHOPP Soundview Social Club,1674 Seward Avenue,Bronx,10473,,18,Bronx CD9,Sandra Arroyo, 917-915-4016,sarroyo@nshopp.org ,W2302,Affiliated,OAC,sarroyo@nshopp.org,Sandra Arroyo,FY24 SC 164,18,Farias,"1674%20Seward%20Avenue,%20Bronx,%2010473",40.81825423388775,-73.86983220090866
Farias,YES,kbrooks@ymcanyc.org,FY24 SC 165,YMCA - Glebe Older Adult Community Hub ,2125 Glebe Avenue,Bronx,10462,,18,Bronx CD9,Kiyana Brooks,718-829-1564 x4,kbrooks@ymcanyc.org,C9301,Main Site,OAC,kbrooks@ymcanyc.org,Kiyana Brooks ,,18,Farias,"2125%20Glebe%20Avenue,%20Bronx,%2010462",40.83509966072888,-73.85036794858821
Feliz,YES,ssmart@bronxworks.org,FY24 SC 135,Bronxworks East Concourse (My Spot/Mi Rincon OAC),236 East Tremont Ave,Bronx,10457,,15,Bronx CD5,Solomon Smart,718 731-6300,ssmart@bronxworks.org,C1103,Main Site,OAC,ssmart@bronxworks.org,Solomon Smart,,15,Feliz,"236%20East%20Tremont%20Ave,%20Bronx,%2010457",40.84893568057659,-73.90456201145379
Feliz,NO,,FY24 SC 159,Bronxworks Twin Parks West,355 E 183 Street,Bronx,10458,,15,Bronx CD5,Robert Corrigan,347-270-1710,rcorrigan@bronxworks.org,C1105,Main Site,OAC,,,,15,Feliz,"355%20E%20183%20Street,%20Bronx,%2010458",40.85639112360914,-73.8959911484647
Feliz,YES,hsolomon@pssusa.org,FY24 SC 137,PSS Parkside,644 Adee Avenue ,Bronx,10467,,15,Bronx CD11,Huda Solomon,718-881-7780,hsolomon@pssusa.org ,W1901,Main Site,OAC,hsolomon@pssusa.org,Huda Solomon,,15,Feliz,"644%20Adee%20Avenue%20,%20Bronx,%2010467",40.8696700635619,-73.86910604497511
Feliz,YES,joenny.castillo@raininc.org,FY24 SC 138,RAIN Mt Carmel OAC,2405 Southern Boulevard,Bronx,10462,,15,Bronx CD6,Joenny Castillo,"718-733-8852, Ext: 390",Joenny.castillo@raininc.org,C5808,Main Site,OAC,joenny.castillo@raininc.org,Joenny Castillo ,,15,Feliz,"2405%20Southern%20Boulevard,%20Bronx,%2010462",40.853772484503324,-73.8815577612431
Feliz,YES,rrosario@nshopp.org,FY24 SC 157,SHOPP Thomas Guess OAC,2070 Clinton Avenue,Bronx,10457,,15,Bronx CD7,Ruby Rosario,718-584-2357,rrosario@nshopp.org,C8401,Main Site,OAC,rrosario@nshopp.org,Ruby Rosario,,15,Feliz,"2070%20Clinton%20Avenue,%20Bronx,%2010457",40.84723563696978,-73.88810068954382
Gennaro,YES,dhorton@allencnp.org,FY24 SC 114,Allen Shelton Affiliate,89-09 162nd Street,Queens,11432,,24,Queens CD12,Dion Horton,718 657-5075,dhorton@allencnp.org,C0203,Affiliated,OAC,dhorton@allencnp.org,DIon Horton,,24,Gennaro,"89-09%20162nd%20Street,%20Queens,%2011432",40.70657031740761,-73.7990609724697
Gennaro,YES,kavita @indiahome.org,FY24 SC 197,India Home Desi Senior Center,178-36 Wexford Terrace,Queens,11432,,24,Queens CD8,Kavita Shan,(917)825-1559,kavita@indiahome.org,C4401,Main Site,OAC,kavita @indiahome.org,Kavita Shah,,24,Gennaro,"178-36%20Wexford%20Terrace,%20Queens,%2011432",40.7135075760464,-73.7845607860655
Gennaro,NO,,FY24 SC 198,Jamaica Muslim Center,85-37 168th Street,Queens,11432,,24, ,Kavita Shan,(917)825-1559,kavita@indiahome.org,C4402,Affiliated,OAC,,,,24,Gennaro,"85-37%20168th%20Street,%20Queens,%2011432",40.71324630444381,-73.79633907014917
Gennaro,YES,dbvasquez@qchnyc.org,FY24 SC 218,Jamaica OAC,89-60 164th Street,Queens,11420,,24, ,Daisy Baez-Vasquez, 917-496-2357,dbvasquez@qchnyc.org,CC201,Main Site,OAC,dbvasquez@qchnyc.org,Daisy Baez-Vasquez,,24,Gennaro,"89-60%20164th%20Street,%20Queens,%2011420",40.70705239215959,-73.79692426817537
Gennaro,YES,ydmckain@qchnyc.org,FY24 SC 204,QCH Pomonok OAC,67-09 Kissena Boulevard,Queens,11367,,24,Queens CD8,Yvette Dick -McKain   ,718-591-3377,YDMcKain@qchnyc.org,C5603,Main Site,OAC,ydmckain@qchnyc.org,Yvette Dick-McKain,,24,Gennaro,"67-09%20Kissena%20Boulevard,%20Queens,%2011367",40.73503236114717,-73.81472561916819
Gennaro,YES,youngisraelsenior@nyc.rr.com,FY24 SC 240,Young Israel Programs Queens Valley II,141-55 77th Avenue,Queens,11367,,24,Queens CD8,Alan Gombo,718-263-6995,youngisraelsenior@nyc.rr.com,C9403,Main Site,OAC,youngisraelsenior@nyc.rr.com,Alan Gombo,,24,Gennaro,"141-55%2077th%20Avenue,%20Queens,%2011367",40.721127249878926,-73.81982213450243
Gutierrez,YES,Jdumay@jasa.org,FY24 SC 253,JASA BUSHWICK HYLAN NORC,50 HUMBOLDT STREET,Brooklyn,11206,,34,301,Jean Dumay,718-408-7532,jdumay@jasa.org,N68-02,DFTA-Funded- NYCHA,NORC,Jdumay@jasa.org,Jean Dumay,,34,Gutierrez,"50%20HUMBOLDT%20STREET,%20Brooklyn,%2011206",40.703178732186544,-73.94076119664058
Gutierrez,NO,,FY24 SC 191,JASA Williamsburg Older Adult Center,202 Graham Avenue,Brooklyn,11206,,34,Brooklyn CD1,Jessica Infante,718-388-6865,help@jasa.org,C8311,Main Site,OAC,,,,34,Gutierrez,"202%20Graham%20Avenue,%20Brooklyn,%2011206",40.70887821294762,-73.94344329677507
Gutierrez,YES,Mnieves@stnicksalliance.org,FY24 SC 254,LINDSAY PARK NORC,31 Leonard Street,Brooklyn,11206,,34,301,Mayra Nieves,718-874-0102,mnieves@stnicksalliance.org,N64,DFTA-Funded,NORC,Mnieves@stnicksalliance.org,Mayra Nieves ,,34,Gutierrez,"31%20Leonard%20Street,%20Brooklyn,%2011206",40.70427924447083,-73.94606204457612
Gutierrez,YES,gboszeta@riseboro.org,FY24 SC 255,Palmetto Gardens Senior Club,85 Palmetto Street,Brooklyn,11221,,34,Brooklyn CD4,"NA, Vacant- Contact Marisol ",718-676-0876,elizardo@riseboro.org,W2005,Affiliated,OAC,gboszeta@riseboro.org,Interim - Gianina Boszeta ,,34,Gutierrez,"85%20Palmetto%20Street,%20Brooklyn,%2011221",40.69159890853215,-73.918839800263
Gutierrez,YES,rortiz@riseboro.org,FY24 SC 256,Riseboro Borinquen Plaza ,80 Seigel Street ,Brooklyn,11206,,34,Brooklyn CD1,Rosemarie Ortiz , (718) 603-9080,rortiz@riseboro.org,W2001,Main Site,OAC,rortiz@riseboro.org,Rosemarie Ortiz,,34,Gutierrez,"80%20Seigel%20Street%20,%20Brooklyn,%2011206",40.70436598269789,-73.94377533361741
Gutierrez,YES,rmorales@riseboro.org,FY24 SC 257,Riseboro Diana Jones ISC,9 Noll Street,Brooklyn,11206,,34,Brooklyn CD4,Roxana Morales,(718) 782-3601 Ext. 1101    ,nruiz@riseboro.org,W2003,Main Site,OAC,rmorales@riseboro.org,Roxana Morales,,34,Gutierrez,"9%20Noll%20Street,%20Brooklyn,%2011206",40.70016224864688,-73.935675159557
Gutierrez,YES,ibowens@riseboro.org,FY24 SC 258,Roundtable Senior,1175 Gates Avenue ,Brooklyn,11206,,34,Brooklyn CD4,Ivory Bowens,718 443-1903,info@riseboro.org,W2007,Main Site,OAC,ibowens@riseboro.org,Ivory Bowens,,34,Gutierrez,"1175%20Gates%20Avenue%20,%20Brooklyn,%2011206",40.69170670228684,-73.91990704652225
Gutierrez,YES,siglesias@lossures.org,FY24 SC 259,"Southside Los Sures ""David Santiago""",201 South 4th Street,Brooklyn,11211,,34,Brooklyn CD1,Sonia Iglesias,718-384-2314,rsirotabassin@lossures.org,C7101,Main Site,OAC,siglesias@lossures.org,Sonia Iglesias,,34,Gutierrez,"201%20South%204th%20Street,%20Brooklyn,%2011211",40.710880655171124,-73.96016023399284
Gutierrez,YES,dperez@stnicksalliance.org,FY24 SC 260,St Nicks Alliance Cooper Park Social Club,288 Frost Street,Brooklyn,11211,,34,Brooklyn CD1,Denise Perez,718-408 6328,dperez@stnicksalliance.org,C7501,Main Site,OAC,dperez@stnicksalliance.org,Denise Perez,,34,Gutierrez,"288%20Frost%20Street,%20Brooklyn,%2011211",40.718837136015416,-73.93985623350723
Gutierrez,YES,ckamen@stnicksalliance.org,FY24 SC 261,St Nicks Alliance Swinging Sixties OAC,211 Ainslie Street,Brooklyn,11211,,34,Brooklyn CD1,"Cheryl Kamen; Rachida Rouias,Assistant Director,Swinging Sixties OAC","718.963.3793, Ext. 910",ckamen@stnicksalliance.org; rrouias@stnicksalliance.org,C7502,Main Site,OAC,ckamen@stnicksalliance.org,"Cheryl L. Kamen, LMSW, Deputy Director of Elder Care For OACs & NORC",,34,Gutierrez,"211%20Ainslie%20Street,%20Brooklyn,%2011211",40.71297162419642,-73.94545261576125
Hanif,YES,Edugansc@aol.com,FY24 SC 288,Eileen Dugan Senior Center,378 Court Street,Brooklyn,11231,,39,Brooklyn CD6,Carol Rembert,718-596-1956,edugansc@aol.com,W1101,Main Site,OAC,Edugansc@aol.com,Carol Reid -Rembert,FY24 SC 288,39,Hanif,"378%20Court%20Street,%20Brooklyn,%2011231",40.681370261158335,-73.9963909500511
Hanif,YES,mabrams@heightsandhills.org,FY24 SC 289,Park Slope Ctr for Successful Aging,463A 7th Street,Brooklyn,11218,,39,Brooklyn CD6   ,Matthew Abrams,718-832-3726,mabrams@heightsandhills.org,C4001,Main Site,OAC,mabrams@heightsandhills.org,Matt Abrams,,39,Hanif,"463A%207th%20Street,%20Brooklyn,%2011218",40.66841893386321,-73.98120125771129
Hanif,YES,jeradiri@yahoo.com,FY24 SC 290,Prospect Hill NSC,283 Prospect Avenue,Brooklyn,11215,,39,Brooklyn CD7   ,Jackie Eradiri,718 499 9574,jeradiri@yahoo.com,C7401,Main Site,OAC,jeradiri@yahoo.com,jacqueline eradiri,,39,Hanif,"283%20Prospect%20Avenue,%20Brooklyn,%2011215",40.66332290702793,-73.98916496607491
